#n,,,,,,,
384,,,,,,,
#no,x(m),y(m),z(m),nx,ny,nz,area(m2)
178,-0.006498,0.082688,-0.001918,0,0,1,3.14E-06
179,0.034098,0.082844,-0.002431,0,0,1,3.14E-06
180,-0.001869,0.083238,-0.002153,0,0,1,3.14E-06
181,-0.049896,0.084327,-0.001336,0,0,1,3.14E-06
182,0.005728,0.084809,-0.002517,0,0,1,3.14E-06
183,-0.022442,0.08496,-0.001459,0,0,1,3.14E-06
184,-0.011627,0.085232,-0.002026,0,0,1,3.14E-06
185,-0.01667,0.085602,-0.002007,0,0,1,3.14E-06
186,0.029155,0.085641,-0.002992,0,0,1,3.14E-06
187,-0.045398,0.086764,-0.001526,0,0,1,3.14E-06
188,0.018114,0.086905,-0.003267,0,0,1,3.14E-06
189,0.023773,0.087329,-0.003274,0,0,1,3.14E-06
190,0.033185,0.087402,-0.00205,0,0,1,3.14E-06
191,0.037661,0.087523,-0.001262,0,0,1,3.14E-06
192,0.010053,0.087693,-0.002692,0,0,1,3.14E-06
193,-0.019829,0.088545,-0.002145,0,0,1,3.14E-06
194,-0.004431,0.088618,-0.00229,0,0,1,3.14E-06
195,0.001415,0.089527,-0.002452,0,0,1,3.14E-06
196,-0.050319,0.090447,-0.001611,0,0,1,3.14E-06
197,-0.009989,0.09068,-0.002398,0,0,1,3.14E-06
198,-0.023442,0.090802,-0.001895,0,0,1,3.14E-06
199,-0.016153,0.09124,-0.002578,0,0,1,3.14E-06
200,-0.042403,0.091274,-0.000994,0,0,1,3.14E-06
201,0.025382,0.091604,-0.002143,0,0,1,3.14E-06
202,0.040023,0.09177,-0.000995,0,0,1,3.14E-06
203,0.035651,0.092665,-0.00176,0,0,1,3.14E-06
204,0.019981,0.092699,-0.00261,0,0,1,3.14E-06
205,0.015605,0.092825,-0.002595,0,0,1,3.14E-06
206,0.004577,0.092966,-0.002463,0,0,1,3.14E-06
207,-0.027714,0.093428,-0.001097,0,0,1,3.14E-06
